Kd_Prov,Provinsi,Kondisi_Baik,Baik_%,Kondisi_Sedang,Sedang_%,Kondisi_RR,RR_%,Kondisi_RB,RB_%,Total_Panjang
11,Aceh,1212.397,57.68,821.8368,39.1,59.89228,2.85,7.945066,0.38,2102.065
12,Sumatera Utara,465.8827,35.12,503.6549,37.97,275.5973,20.78,81.25148,6.13,1326.376
13,Sumatera Barat,568.5532,47.25,555.0768,46.13,65.4108,5.44,14.28869,1.19,1203.342
14,Riau,373.1396,49.85,351.4721,46.95,19.15625,2.56,4.830009,0.65,748.598
15,Jambi,735.4306,45.96,760.6004,47.53,97.6914,6.11,6.442175,0.4,1600.162
16,Sumatera Selatan,925.0633,35.08,1306.76,49.56,286.5999,10.87,118.309,4.49,2636.733
17,Bengkulu,504.6389,37.76,679.6051,50.85,110.622,8.28,41.74975,3.12,1336.614
18,Lampung,251.1645,14.68,1144.826,66.91,249.7194,14.6,65.18643,3.81,1710.896
19,Kepulauan Bangka Belitung,988.0571,46.66,973.5596,45.98,81.53004,3.85,74.42522,3.51,2117.572
21,Kepulauan Riau,700.3139,34.98,970.1712,48.46,123.2346,6.16,208.3643,10.41,2002.084
31,DKI Jakarta,502.5135,38.13,721.9816,54.78,51.51039,3.91,41.92349,3.18,1317.929
32,Jawa Barat,526.2171,87.64,73.23577,12.2,0.895685,0.15,0.049395,0.01,600.398
33,Jawa Tengah,514.3054,39.8,679.4563,52.58,60.33569,4.67,38.11828,2.95,1292.212
34,D.I. Yogyakarta,377.5428,64.34,191.8522,32.69,4.948814,0.84,12.48111,2.13,586.825
35,Jawa Timur,16.82762,31.57,34.32513,64.39,2.155255,4.04,0,0,53.308
36,Banten,817.9815,56.46,553.4704,38.2,44.39074,3.06,32.96735,2.28,1448.81
51,Bali,1378.252,52.36,1143.003,43.42,94.39233,3.59,16.57632,0.63,2632.223
52,Nusa Tenggara Barat,368.7666,58.59,256.479,40.75,4.147876,0.66,0,0,629.3935
53,Nusa Tenggara Timur,638.3798,68.31,288.2862,30.85,6.878701,0.74,1.008278,0.11,934.553
61,Kalimantan Barat,104.4064,18.48,417.1757,73.85,41.86418,7.41,1.438718,0.25,564.885
62,Kalimantan Tengah,688.7948,45.37,799.9035,52.69,28.45624,1.87,0.934209,0.06,1518.088
63,Kalimantan Selatan,617.8919,34.53,1123.885,62.81,46.91846,2.62,0.505534,0.03,1789.201
64,Kalimantan Timur,180.7105,72.89,66.71183,26.91,0.490622,0.2,0,0,247.913
65,Kalimantan Utara,1270.614,53.81,969.4021,41.06,96.43017,4.08,24.7811,1.05,2361.227
71,Sulawesi Utara,1001.056,56.5,616.9404,34.82,110.1187,6.22,43.55218,2.46,1771.668
72,Sulawesi Tengah,651.5886,37.32,1017.971,58.31,48.39973,2.77,27.96063,1.6,1745.917
73,Sulawesi Selatan,235.8039,30.9,464.1973,60.82,16.70637,2.19,46.46146,6.09,763.169
74,Sulawesi Tenggara,837.0825,55.89,613.4964,40.96,30.46707,2.03,16.77293,1.12,1497.814
75,Gorontalo,482.9521,60.93,269.1928,33.96,37.82365,4.77,2.638488,0.33,792.607
76,Sulawesi Barat,1015.69,42.79,1322.699,55.73,32.86816,1.38,2.143003,0.09,2373.4
81,Maluku,170.2442,29.09,329.5214,56.31,74.96378,12.81,10.43362,1.78,585.163
82,Maluku Utara,509.1281,42.28,636.377,52.84,54.29067,4.51,4.501168,0.37,1204.297
91,Papua Barat,827.4716,49.73,767.8715,46.15,68.16067,4.1,0.413191,0.02,1663.917
94,Papua,648.9187,34.93,1103.95,59.42,78.23972,4.21,26.90288,1.45,1857.911
xxx,Indonesia,21107.78,44.89,22528.95,47.92,2405.307,5.12,975.3555,2.07,47017.2705
